index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note
265,CC(C)C1CCCC1,112.21599999999991,290.188,186.021,398.118,596.9,30.4751,417.61,0.837,46.589,-158.72,39.897,9.843,0.134,4940.0,44.022,339.449,CC(C)C1CCCC1 at 298K
266,CC(C)(C)C1CCCCC1,140.27000000000007,300.424,237.939,442.042,651.999,26.1093,519.6,0.788,53.162,-295.388,46.988,6.93,0.178,6078.012,43.331,336.774,CC(C)(C)C1CCCCC1 at 298K
267,C=CC1CCCC1,96.17299999999993,279.975,150.344,371.853,578.866,35.1893,343.91,0.788,133.398,-1.243,35.527,5.441,0.122,4218.307,43.862,342.515,C=CC1CCCC1 at 298K
268,C=C(C)[C@@H]1CC=C(C)CC1,136.23800000000003,318.149,188.959,451.906,640.144,27.066,494.26,0.846,166.735,-116.733,38.852,12.756,0.161,5773.007,42.374,338.18,C=C(C)[C@@H]1CC=C(C)CC1 at 298K
269,ClC1CCCC1,104.57999999999994,262.797,213.46,372.426,557.697,42.7705,305.1,1.046,-10.059,-194.612,36.106,8.064,0.1,,,,ClC1CCCC1 at 298K
270,FC1CCCCC1,102.15199999999993,247.417,288.034,374.152,566.451,34.982,320.17,0.92,-153.121,-424.501,30.429,8.356,0.111,,,,FC1CCCCC1 at 298K
271,OC1CCCCC1,100.16099999999993,328.28,262.196,434.352,650.0,42.548,321.55,0.982,-109.754,-286.2,61.675,2.122,0.102,,,,OC1CCCCC1 at 298K
272,NC1CCCCC1,99.17699999999992,304.15,264.287,422.513,614.998,41.8909,353.85,0.893,82.283,-104.9,43.7,11.459,0.111,,,,NC1CCCCC1 at 298K
273,CNC1CCCCC1,113.20399999999991,302.413,229.12,427.421,621.999,34.7355,391.59,0.878,116.733,-103.0,47.185,11.462,0.129,,,,CNC1CCCCC1 at 298K
274,CN(C)C1CCCCC1,127.2309999999999,329.078,244.92,434.148,630.265,29.2072,451.79,0.86,154.631,-163.48,48.684,11.288,0.148,,,,CN(C)C1CCCCC1 at 298K
275,SC1CCCCC1,116.22899999999993,247.417,237.551,434.601,663.996,39.6073,365.57,0.977,36.653,-96.02,44.857,9.954,0.119,,,,SC1CCCCC1 at 298K
276,N#CC1CCCC1,95.14499999999994,325.344,261.796,452.034,640.22,42.3823,304.87,0.915,154.553,22.033,47.263,8.605,0.104,,,,N#CC1CCCC1 at 298K
277,O=C(O)C1CC1,86.08999999999996,321.798,295.445,438.546,681.863,49.9258,229.79,1.133,-335.313,-480.469,37.844,8.064,0.076,,,,O=C(O)C1CC1 at 298K
278,CC(=O)C1CCCCC1,126.19899999999991,335.16,261.894,465.45,656.563,32.7423,429.22,1.002,-96.602,-348.363,49.884,10.791,0.126,,,,CC(=O)C1CCCCC1 at 298K
279,O=[N+]([O-])C1CCCCC1,129.15899999999996,372.454,243.182,461.971,700.535,41.1433,297.14,1.113,53.133,-128.794,59.984,9.949,0.116,,,,O=[N+]([O-])C1CCCCC1 at 298K
280,CSC1CCCC1,116.22899999999993,285.343,172.395,424.708,639.437,38.2501,366.32,0.961,56.615,-146.415,44.377,10.206,0.121,,,,CSC1CCCC1 at 298K
281,O=CC1CCCCC1,112.17199999999993,319.95,253.152,438.513,641.399,38.8714,355.84,0.935,-67.113,-301.06,46.576,14.24,0.12,,,,O=CC1CCCCC1 at 298K
282,COC1CCCCC1,114.18799999999992,300.662,204.465,418.679,609.091,34.9407,379.97,0.859,-59.661,-330.652,41.233,8.997,0.133,,,,COC1CCCCC1 at 298K
283,O=COC1CCCCC1,128.17099999999994,314.286,226.328,436.147,643.138,37.0965,387.98,1.017,-244.794,-501.165,49.267,11.89,0.126,,,,O=COC1CCCCC1 at 298K
284,CCOC(=O)C1CCC1=O,142.15400000000008,379.284,284.074,484.525,750.264,37.0514,406.0,1.137,-431.981,-667.746,64.195,19.998,0.125,,,,CCOC(=O)C1CCC1=O at 298K
285,CC(=O)OC1CCCCC1,142.19800000000012,330.15,241.464,448.936,648.0,31.1229,442.55,1.367,-265.061,-503.0,53.943,11.219,0.104,,,,CC(=O)OC1CCCCC1 at 298K
286,CC1(C)CCCCC1,112.21599999999991,280.245,204.695,395.923,580.234,30.576,429.36,0.785,41.44,-160.797,37.136,1.999,0.143,4937.923,44.004,339.379,CC1(C)CCCCC1 at 298K
287,CCC1(C)CCCC1,112.21599999999991,274.435,175.237,397.632,582.002,30.0763,428.0,0.807,50.629,-154.9,38.998,6.697,0.139,4943.82,44.056,339.58,CCC1(C)CCCC1 at 298K
288,CC1(O)CCCC1,100.16099999999993,307.038,280.823,407.417,588.88,43.3915,325.25,0.963,-137.654,-302.729,55.008,6.148,0.104,,,,CC1(O)CCCC1 at 298K
289,CN1CCCC1=O,99.13299999999994,369.744,268.927,450.072,721.798,47.68,310.4,1.066,-69.183,-209.148,41.346,6.564,0.093,,,,CN1CCCC1=O at 298K
290,CCn1cccc1,95.14499999999994,269.381,224.804,354.696,540.663,42.2175,316.44,0.906,75.951,200.553,33.238,8.271,0.105,,,,CCn1cccc1 at 298K
291,Cc1ccccc1O,108.13999999999994,345.89,302.65,466.963,697.637,49.6452,349.03,1.071,-33.749,-128.207,71.145,13.776,0.101,,,,Cc1ccccc1O at 298K
292,Cc1cccc(O)c1,108.13999999999994,366.668,302.838,468.921,695.009,49.5058,352.05,1.05,-36.407,-127.85,67.209,13.728,0.103,,,,Cc1cccc(O)c1 at 298K
293,Cc1ccc(O)cc1,108.13999999999994,358.819,316.002,470.441,697.814,50.067,349.0,1.02,-34.909,-128.156,70.667,16.569,0.106,,,,Cc1ccc(O)cc1 at 298K
294,Cc1cccc(C)c1C,120.19499999999992,310.673,237.457,440.314,652.432,33.6194,438.63,0.89,124.452,-11.724,47.839,10.234,0.135,4998.846,41.589,338.747,Cc1cccc(C)c1C at 298K
295,Oc1ccc(O)c(O)c1,126.11099999999995,485.232,408.011,561.212,802.772,104.6015,260.11,1.327,-351.418,-454.737,134.413,28.272,0.095,,,,Oc1ccc(O)c(O)c1 at 298K
296,CCc1cc(C)cc(CC)c1,148.24900000000014,363.441,218.974,477.325,686.13,23.6626,517.6,0.882,133.313,-61.718,57.644,10.694,0.168,6223.532,41.98,338.606,CCc1cc(C)cc(CC)c1 at 298K
297,CCc1c(C)ccc(C)c1C,148.24900000000014,355.59,229.832,482.112,711.916,27.6655,516.76,0.915,139.421,-48.677,50.218,11.822,0.162,6236.573,42.068,338.961,CCc1c(C)ccc(C)c1C at 298K
298,Cc1cc(C)c(C)c(C)c1,134.222,336.502,245.608,461.563,678.997,29.7499,482.21,0.901,122.59,-34.935,46.603,10.885,0.149,5612.975,41.819,338.726,Cc1cc(C)c(C)c(C)c1 at 298K
299,Cc1cc(C)c(C)cc1C,134.222,360.989,264.963,463.582,675.148,29.7499,496.58,0.883,117.19,-38.315,46.603,21.165,0.152,5609.595,41.793,338.621,Cc1cc(C)c(C)cc1C at 298K
300,Cc1ccccn1,93.12899999999996,312.046,265.881,387.559,621.001,43.6782,320.07,0.763,177.039,68.647,42.475,8.781,0.122,,,,Cc1ccccn1 at 298K
301,Cc1cccnc1,93.12899999999996,317.801,236.614,411.963,645.0,43.6782,320.07,0.991,184.229,102.857,44.545,13.455,0.094,,,,Cc1cccnc1 at 298K
